date,day,confirmed,recovered,deaths,removed,infected,susceptible,new_confirmed,new_removed,exposed,model_susceptible,model_exposed,model_infected,model_removed,model_confirmed,beta,sigma,gamma
2020-03-01,0,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-02,1,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-03,2,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-04,3,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-05,4,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-06,5,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-07,6,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-08,7,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-09,8,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-10,9,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-11,10,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-12,11,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-13,12,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-14,13,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-15,14,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-16,15,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-17,16,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-18,17,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-19,18,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-20,19,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-21,20,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-22,21,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0,29136807.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2020-03-23,22,2.0,1.0,0.0,1.0,1.0,29136806.0,1.0,0.0,1.0,29136806.0,1.0,1.0,1.0,2.0,0.20000001372834073,0.2,0.0
2020-03-24,23,2.0,1.0,0.0,1.0,1.0,29136806.0,0.0,0.0,1.0,29136805.779933333,1.0187999992167525,1.2012666666163294,1.0,2.2012666666163296,1.2000000823700443,0.2,0.0
2020-03-25,24,3.0,1.0,0.0,1.0,2.0,29136805.0,1.0,0.0,2.0,29136804.63960003,2.057133302833354,1.3032666648092222,1.0,2.303266664809222,0.2000000205925118,0.2,0.0
2020-03-26,25,3.0,1.0,0.0,1.0,2.0,29136805.0,0.0,0.0,2.0,29136804.55986667,2.0375999968670095,2.4025333331319843,1.0,3.4025333331319843,0.7000000720737911,0.2,0.0
2020-03-27,26,4.0,1.0,0.0,1.0,3.0,29136804.0,1.0,0.0,3.0,29136803.43620004,3.0600999600675163,2.5036999975026433,1.0,3.5036999975026433,0.20000002745668333,0.2,0.0
2020-03-28,27,5.0,1.0,0.0,1.0,4.0,29136803.0,1.0,0.0,3.0,29136803.339800008,3.0563999929507712,3.6037999995469647,1.0,4.603799999546965,0.1500000257406415,0.2,0.0
2020-03-29,28,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,0.0,3.0,29136802.354887508,3.042262493278945,4.602849999562795,1.0,5.602849999562795,0.0,0.2,0.0
2020-03-30,29,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,0.0,2.0,29136803.0,2.4562,4.5438,1.0,5.5438,0.10000001716042767,0.2,0.0
2020-03-31,30,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,0.0,2.0,29136802.579966668,2.018766663821674,4.401266666479275,1.0,5.401266666479275,0.0,0.2,0.0
2020-04-01,31,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,0.0,1.0,29136803.0,1.6374666666666666,4.362533333333333,1.0,5.362533333333333,0.050000008580213834,0.2,0.0
2020-04-02,32,6.0,1.0,0.0,1.0,5.0,29136802.0,1.0,0.0,1.0,29136802.794995833,1.0046874993233637,4.200316666621521,1.0,5.200316666621521,0.040000008237005565,0.2,0.0
2020-04-03,33,6.0,1.0,0.0,1.0,5.0,29136802.0,0.0,0.0,1.0,29136801.795997333,1.003749332663509,5.200253333288524,1.0,6.200253333288524,0.640000131792089,0.2,0.0
2020-04-04,34,9.0,1.0,0.0,1.0,8.0,29136799.0,3.0,0.0,4.0,29136798.674517523,3.8372291532301377,5.4882533216829135,1.0,6.4882533216829135,0.10000003088877403,0.2,0.0
2020-04-05,35,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,4.0,29136798.159933347,4.03753332195336,8.802533332583765,1.0,9.802533332583765,0.10000003088877403,0.2,0.0
2020-04-06,36,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,4.0,29136798.159933347,4.03753332195336,8.802533332583765,1.0,9.802533332583765,0.0,0.2,0.0
2020-04-07,37,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,3.0,29136799.0,3.2749333333333333,8.725066666666667,1.0,9.725066666666667,0.07500002316658051,0.2,0.0
2020-04-08,38,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,3.0,29136798.377471883,3.0211031187555553,8.601424999586058,1.0,9.601424999586058,0.0,0.2,0.0
2020-04-09,39,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,0.0,29136799.0,2.4562,8.543800000000001,1.0,9.543800000000001,0.0,0.2,0.0
2020-04-10,40,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,0.0,29136799.0,0.0,8.0,1.0,9.0,0.0,0.2,0.0
2020-04-11,41,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0,0.0,29136799.0,0.0,8.0,1.0,9.0,0.3750001158329026,0.2,0.0
2020-04-12,42,12.0,1.0,0.0,1.0,11.0,29136796.0,3.0,0.0,3.0,29136795.96437516,2.7527498507682138,8.282874990122028,1.0,9.282874990122028,0.2363637337100857,0.2,0.0
2020-04-13,43,14.0,1.0,0.0,1.0,13.0,29136794.0,2.0,0.0,5.0,29136793.313842,4.8935458889002295,11.79261211352035,1.0,12.79261211352035,0.23076934165202834,0.2,0.0
2020-04-14,44,16.0,1.0,0.0,1.0,15.0,29136792.0,2.0,0.0,7.0,29136790.869556382,6.93503337217564,14.195410246005856,1.0,15.195410246005856,0.09333338458582996,0.2,0.0
2020-04-15,45,16.0,1.0,0.0,1.0,15.0,29136792.0,0.0,0.0,7.0,29136790.534565073,7.06129715056275,16.404137775493425,1.0,17.404137775493425,0.09333338458582996,0.2,0.06666666666666667
2020-04-16,46,16.0,2.0,0.0,2.0,14.0,29136792.0,0.0,1.0,7.0,29136790.58171223,7.017126288589025,15.38809876329674,2.013062716011513,17.401161479308254,0.8857147720900188,0.2,0.0
2020-04-17,47,30.0,2.0,0.0,2.0,28.0,29136778.0,14.0,0.0,18.0,29136778.662326906,17.851835182728387,16.485837911526403,2.0,18.485837911526403,0.09285723846532183,0.2,0.0
2020-04-18,48,31.0,2.0,0.0,2.0,29.0,29136777.0,1.0,0.0,17.0,29136775.23553908,17.24769664545297,31.51676427763781,2.0,33.51676427763781,0.04827591343194655,0.2,0.06896551724137931
2020-04-19,49,31.0,4.0,0.0,4.0,27.0,29136777.0,0.0,2.0,15.0,29136775.569945183,15.215447685317276,30.171671628488355,4.042935503671096,34.21460713215945,0.11111122932749601,0.2,0.0
2020-04-20,50,31.0,4.0,0.0,4.0,27.0,29136777.0,0.0,0.0,15.0,29136773.833024863,15.15641959129664,30.010555544928792,4.0,34.01055554492879,0.55555614663748,0.2,0.0
2020-04-21,51,43.0,4.0,0.0,4.0,39.0,29136765.0,12.0,0.0,27.0,29136760.94784397,26.864267412127326,31.18788862020088,4.0,35.18788862020088,0.0,0.2,0.07692307692307693
2020-04-22,52,45.0,7.0,0.0,7.0,38.0,29136763.0,2.0,3.0,15.0,29136765.0,22.105800000000002,40.817101228948566,7.077098771051434,47.8942,0.1315791505842907,0.2,0.07894736842105263
2020-04-23,53,48.0,10.0,0.0,10.0,38.0,29136760.0,3.0,3.0,17.0,29136757.99184023,16.82038786916911,38.18287578129705,10.004896121319167,48.18777190261622,0.11578966443619314,0.2,0.02631578947368421
2020-04-24,54,49.0,11.0,0.0,11.0,38.0,29136759.0,1.0,1.0,18.0,29136755.458354387,18.039046928956573,40.47040641973198,11.032192265486076,51.502598685218054,0.09473700142652683,0.2,0.02631578947368421
2020-04-25,55,49.0,12.0,0.0,12.0,37.0,29136759.0,0.0,1.0,18.0,29136755.277721107,18.114532922930913,40.57377954376251,12.03396642479099,52.6077459685535,0.0,0.2,0.10810810810810811
2020-04-26,56,52.0,16.0,0.0,16.0,36.0,29136756.0,3.0,4.0,9.0,29136759.0,14.737200000000001,36.29563722583065,15.96716277416935,52.2628,0.0,0.2,0.0
2020-04-27,57,52.0,16.0,0.0,16.0,36.0,29136756.0,0.0,0.0,7.0,29136756.0,7.368600000000001,37.6314,16.0,53.6314,0.011111130940970614,0.2,0.0
2020-04-28,58,54.0,16.0,0.0,16.0,38.0,29136754.0,2.0,0.0,6.0,29136755.592572637,6.100619956177615,37.30680740722845,16.0,53.30680740722845,0.08421068238562557,0.2,0.0
2020-04-29,59,57.0,16.0,0.0,16.0,41.0,29136751.0,3.0,0.0,8.0,29136750.744069617,7.865116357404328,39.390814023673265,16.0,55.390814023673265,0.03902446658701441,0.2,0.0
2020-04-30,60,57.0,16.0,0.0,16.0,41.0,29136751.0,0.0,0.0,8.0,29136749.36876023,8.029262538970114,42.601977232906656,16.0,58.601977232906656,0.014634174970130403,0.2,0.0
