date,day,confirmed,recovered,deaths,removed_R,infected_I,susceptible_S,new_confirmed,estimated_exposed_E
2020-03-01,0,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-02,1,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-03,2,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-04,3,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-05,4,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-06,5,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-07,6,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-08,7,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-09,8,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-10,9,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-11,10,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-12,11,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-13,12,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-14,13,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-15,14,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-16,15,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-17,16,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-18,17,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-19,18,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-20,19,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-21,20,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-22,21,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0
2020-03-23,22,2.0,1.0,0.0,1.0,1.0,29136806.0,1.0,1.0416666666666667
2020-03-24,23,2.0,1.0,0.0,1.0,1.0,29136806.0,0.0,1.0416666666666667
2020-03-25,24,3.0,1.0,0.0,1.0,2.0,29136805.0,1.0,2.0833333333333335
2020-03-26,25,3.0,1.0,0.0,1.0,2.0,29136805.0,0.0,2.0833333333333335
2020-03-27,26,4.0,1.0,0.0,1.0,3.0,29136804.0,1.0,3.125
2020-03-28,27,5.0,1.0,0.0,1.0,4.0,29136803.0,1.0,3.125
2020-03-29,28,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,3.125
2020-03-30,29,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,2.0833333333333335
2020-03-31,30,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,2.0833333333333335
2020-04-01,31,5.0,1.0,0.0,1.0,4.0,29136803.0,0.0,1.0416666666666667
2020-04-02,32,6.0,1.0,0.0,1.0,5.0,29136802.0,1.0,1.0416666666666667
2020-04-03,33,6.0,1.0,0.0,1.0,5.0,29136802.0,0.0,1.0416666666666667
2020-04-04,34,9.0,1.0,0.0,1.0,8.0,29136799.0,3.0,4.166666666666667
2020-04-05,35,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,4.166666666666667
2020-04-06,36,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,4.166666666666667
2020-04-07,37,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,3.125
2020-04-08,38,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,3.125
2020-04-09,39,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0
2020-04-10,40,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0
2020-04-11,41,9.0,1.0,0.0,1.0,8.0,29136799.0,0.0,0.0
2020-04-12,42,12.0,1.0,0.0,1.0,11.0,29136796.0,3.0,3.125
2020-04-13,43,14.0,1.0,0.0,1.0,13.0,29136794.0,2.0,5.208333333333333
2020-04-14,44,16.0,1.0,0.0,1.0,15.0,29136792.0,2.0,7.291666666666666
2020-04-15,45,16.0,1.0,0.0,1.0,15.0,29136792.0,0.0,7.291666666666666
2020-04-16,46,16.0,2.0,0.0,2.0,14.0,29136792.0,0.0,7.291666666666666
2020-04-17,47,30.0,2.0,0.0,2.0,28.0,29136778.0,14.0,18.75
2020-04-18,48,31.0,2.0,0.0,2.0,29.0,29136777.0,1.0,17.708333333333332
2020-04-19,49,31.0,4.0,0.0,4.0,27.0,29136777.0,0.0,15.625
2020-04-20,50,31.0,4.0,0.0,4.0,27.0,29136777.0,0.0,15.625
2020-04-21,51,43.0,4.0,0.0,4.0,39.0,29136765.0,12.0,28.125
2020-04-22,52,45.0,7.0,0.0,7.0,38.0,29136763.0,2.0,15.625
2020-04-23,53,48.0,10.0,0.0,10.0,38.0,29136760.0,3.0,17.708333333333332
2020-04-24,54,49.0,11.0,0.0,11.0,38.0,29136759.0,1.0,18.75
2020-04-25,55,49.0,12.0,0.0,12.0,37.0,29136759.0,0.0,18.75
2020-04-26,56,52.0,16.0,0.0,16.0,36.0,29136756.0,3.0,9.375
2020-04-27,57,52.0,16.0,0.0,16.0,36.0,29136756.0,0.0,7.291666666666666
2020-04-28,58,54.0,16.0,0.0,16.0,38.0,29136754.0,2.0,6.25
2020-04-29,59,57.0,16.0,0.0,16.0,41.0,29136751.0,3.0,8.333333333333334
2020-04-30,60,57.0,16.0,0.0,16.0,41.0,29136751.0,0.0,8.333333333333334
2020-05-01,61,59.0,16.0,0.0,16.0,43.0,29136749.0,2.0,7.291666666666666
2020-05-02,62,59.0,16.0,0.0,16.0,43.0,29136749.0,0.0,7.291666666666666
2020-05-03,63,75.0,16.0,0.0,16.0,59.0,29136733.0,16.0,21.875
2020-05-04,64,75.0,16.0,0.0,16.0,59.0,29136733.0,0.0,18.75
2020-05-05,65,82.0,16.0,0.0,16.0,66.0,29136726.0,7.0,26.041666666666668
2020-05-06,66,99.0,22.0,0.0,22.0,77.0,29136709.0,17.0,41.666666666666664
2020-05-07,67,101.0,22.0,0.0,22.0,79.0,29136707.0,2.0,43.75
2020-05-08,68,102.0,31.0,0.0,31.0,71.0,29136706.0,1.0,28.125
2020-05-09,69,110.0,31.0,0.0,31.0,79.0,29136698.0,8.0,36.458333333333336
2020-05-10,70,110.0,31.0,0.0,31.0,79.0,29136698.0,0.0,29.166666666666664
2020-05-11,71,134.0,33.0,0.0,33.0,101.0,29136674.0,24.0,36.458333333333336
2020-05-12,72,217.0,33.0,0.0,33.0,184.0,29136591.0,83.0,120.83333333333333
2020-05-13,73,250.0,35.0,0.0,35.0,215.0,29136558.0,33.0,154.16666666666666
2020-05-14,74,249.0,35.0,0.0,35.0,214.0,29136559.0,0.0,145.83333333333334
2020-05-15,75,267.0,36.0,0.0,36.0,231.0,29136541.0,18.0,164.58333333333334
2020-05-16,76,291.0,36.0,1.0,37.0,254.0,29136517.0,24.0,164.58333333333334
2020-05-17,77,295.0,36.0,2.0,38.0,257.0,29136513.0,4.0,82.29166666666667
2020-05-18,78,375.0,36.0,2.0,38.0,337.0,29136433.0,80.0,131.25
2020-05-19,79,402.0,37.0,2.0,39.0,363.0,29136406.0,27.0,159.375
2020-05-20,80,427.0,45.0,2.0,47.0,380.0,29136381.0,25.0,166.66666666666666
2020-05-21,81,457.0,49.0,3.0,52.0,405.0,29136351.0,30.0,172.91666666666669
2020-05-22,82,516.0,70.0,3.0,73.0,443.0,29136292.0,59.0,230.20833333333334
2020-05-23,83,584.0,70.0,3.0,73.0,511.0,29136224.0,68.0,217.70833333333331
2020-05-24,84,603.0,87.0,3.0,90.0,513.0,29136205.0,19.0,209.375
2020-05-25,85,682.0,112.0,4.0,116.0,566.0,29136126.0,79.0,265.625
2020-05-26,86,772.0,155.0,4.0,159.0,613.0,29136036.0,90.0,328.125
2020-05-27,87,886.0,183.0,4.0,187.0,699.0,29135922.0,114.0,385.4166666666667
2020-05-28,88,1042.0,187.0,5.0,192.0,850.0,29135766.0,156.0,477.0833333333333
