wave,scenario,date,model_S,model_E,model_I,model_R,model_confirmed,beta,actual_confirmed,basic_R0,effective_Re
wave_1,Paper beta (0% reduction),2020-09-17,25000000.0,100000.0,1500000.0,1000000.0,59573.0,0.0536,59573.0,0.8535031847133758,0.7731007107911013
wave_1,Paper beta (0% reduction),2020-09-18,24928981.59993763,147095.2816741335,1431930.6254480772,1091992.4929401604,60704.56349976365,0.0536,61593.0,0.8535031847133758,0.7709045357684027
wave_1,Paper beta (0% reduction),2020-09-19,24861154.25836829,183068.89709893602,1375680.3414646697,1180096.503068104,62211.244746400196,0.0536,62797.0,0.8535031847133758,0.7688070411292696
wave_1,Paper beta (0% reduction),2020-09-20,24795987.8240624,210344.13739054828,1328697.1949715742,1264970.84357548,64003.49822327567,0.0536,64122.0,0.8535031847133758,0.7667918324620053
wave_1,Paper beta (0% reduction),2020-09-21,24733067.134719152,230816.7690267833,1288983.897882803,1347132.1983712623,66011.2913528173,0.0536,65276.0,0.8535031847133758,0.7648460712758162
wave_1,Paper beta (0% reduction),2020-09-22,24672066.60858836,245970.21063438908,1254977.1707269335,1426986.0100503196,68179.85845076406,0.0536,66632.0,0.8535031847133758,0.7629596892714023
wave_1,Paper beta (0% reduction),2020-09-23,24612730.49219227,256965.46465766913,1225453.3922670672,1504850.6508829978,70466.38124099806,0.0536,67804.0,0.8535031847133758,0.7611247775209462
wave_1,Paper beta (0% reduction),2020-09-24,24554857.489857856,264711.36846895557,1199454.8010408382,1580976.340632354,72837.39300114199,0.0536,69301.0,0.8535031847133758,0.7593351111513322
wave_1,Paper beta (0% reduction),2020-09-25,24498288.793434378,269919.4923018483,1176231.7592389758,1655559.9550248028,75266.74808467673,0.0536,70614.0,0.8535031847133758,0.7575857791747914
wave_1,Paper beta (0% reduction),2020-09-26,24442898.753974263,273147.05305471795,1155197.5740031977,1728756.6189678279,77734.03332752951,0.0536,71821.0,0.8535031847133758,0.755872896019697
wave_1,Paper beta (0% reduction),2020-09-27,24388587.60843755,274830.4692968127,1135893.1386624468,1800688.783603199,80223.32492316506,0.0536,73394.0,0.8535031847133758,0.7541933766109644
wave_1,Paper beta (0% reduction),2020-09-28,24335275.80626973,275311.6047864185,1117959.254995792,1871453.333948067,82722.21545704454,0.0536,74745.0,0.8535031847133758,0.7525447609249845
wave_1,Paper beta (0% reduction),2020-09-29,24282899.58239876,274858.2980239758,1101114.9647470932,1941127.1548301775,85221.05225600491,0.0536,76258.0,0.8535031847133758,0.7509250770888566
wave_1,Paper beta (0% reduction),2020-09-30,24231407.50185411,273680.4250216421,1085140.5833603377,2009771.489763918,87712.34105877731,0.0536,77817.0,0.8535031847133758,0.7493327345260893
wave_1,Paper beta (0% reduction),2020-10-01,24180757.762163207,271942.46937095234,1069864.4138168178,2077435.3546490294,90190.2790484346,0.0536,79728.0,0.8535031847133758,0.7477664405358324
wave_1,Paper beta (0% reduction),2020-10-02,24130916.086985514,269773.36066346394,1055152.341086579,2144158.2112644506,92650.38912620372,0.0536,82450.0,0.8535031847133758,0.7462251351555568
wave_1,Paper beta (0% reduction),2020-10-03,24081854.081202835,267274.1760620103,1040899.6817234051,2209972.061011757,95089.23343137318,0.0536,84570.0,0.8535031847133758,0.7447079402938196
wave_1,Paper beta (0% reduction),2020-10-04,24033547.94627654,264524.17000602116,1027024.7991859949,2274903.084531449,97504.1888998351,0.0536,86823.0,0.8535031847133758,0.743214120003936
wave_1,Paper beta (0% reduction),2020-10-05,23985977.476940446,261585.49563669713,1013464.1018643614,2338972.9255585037,99893.27139710155,0.0536,89263.0,0.8535031847133758,0.74174304945768
wave_1,Paper beta (0% reduction),2020-10-06,23939125.277637187,258506.9023006395,1000168.1240115061,2402199.6960506756,102254.99788894122,0.0536,90814.0,0.8535031847133758,0.740294190714341
wave_1,Paper beta (0% reduction),2020-10-07,23892976.150620796,255326.63156899557,987098.4548861671,2464598.7629240514,104588.27840242336,0.0536,94253.0,0.8535031847133758,0.7388670737983905
wave_1,Paper beta (0% reduction),2020-10-08,23847516.61818688,252074.6858013626,974225.3323547924,2526183.3636569744,106892.3313213566,0.0536,98617.0,0.8535031847133758,0.7374612819249149
wave_1,Paper beta (0% reduction),2020-10-09,23802734.549713522,248774.6054321555,961525.7570672464,2586965.0877870847,109166.61696160989,0.0536,100676.0,0.8535031847133758,0.7360764399662169
wave_1,Paper beta (0% reduction),2020-10-10,23758618.87061181,245444.86155410524,948982.0145238432,2646954.2533102524,111410.78546855276,0.0536,105684.0,0.8535031847133758,0.7347122054513943
wave_1,Paper beta (0% reduction),2020-10-11,23715159.335293323,242099.94721740473,936580.5167770961,2706160.200712185,113624.63593724303,0.0536,107755.0,0.8535031847133758,0.7333682615455793
wave_1,Paper beta (0% reduction),2020-10-12,23672346.35017252,238751.2327468042,924310.8946346011,2764591.5224460843,115808.08432791645,0.0536,111802.0,0.8535031847133758,0.73204431157646
wave_1,Paper beta (0% reduction),2020-10-13,23630170.835776005,235407.63620356913,912165.2862028478,2822256.2418175857,117961.13827536654,0.0536,115358.0,0.8535031847133758,0.730740074770143
wave_1,Paper beta (0% reduction),2020-10-14,23588624.11941661,232076.14902581097,900137.779337356,2879161.95222023,120083.87730267385,0.0536,117996.0,0.8535031847133758,0.7294552829322035
wave_1,Paper beta (0% reduction),2020-10-15,23547697.851754073,228762.24819802193,888223.9747479055,2935315.9253000044,122176.43727226618,0.0536,121745.0,0.8535031847133758,0.7281896778674064
wave_1,Paper beta (0% reduction),2020-10-16,23507383.942020882,225470.2195039276,876420.6437007752,2990725.194774421,124238.99815987682,0.0536,126137.0,0.8535031847133758,0.7269430093766264
wave_1,Paper beta (0% reduction),2020-10-17,23467674.507830195,222203.41109570095,864725.4598947715,3045396.6211793376,126271.7744348054,0.0536,129304.0,0.8535031847133758,0.7257150337047091
wave_1,Paper beta (0% reduction),2020-10-18,23428561.836372804,218964.4324462747,853136.7895024901,3099336.941678436,128275.00748485784,0.0536,132246.0,0.8535031847133758,0.7245055123405232
wave_1,Paper beta (0% reduction),2020-10-19,23390038.354505744,215755.31048895998,841653.5268273012,3152552.808177998,130248.95964575069,0.0536,136036.0,0.8535031847133758,0.7233142110919804
wave_1,Paper beta (0% reduction),2020-10-20,23352096.60577929,212577.61219348485,830274.965737132,3205050.8162900954,132193.9094898879,0.0536,139129.0,0.8535031847133758,0.7221408993756173
wave_1,Paper beta (0% reduction),2020-10-21,23314729.232874442,209432.5408262853,819000.6991604128,3256837.527138862,134110.14810395575,0.0536,144872.0,0.8535031847133758,0.7209853496734918
wave_1,Paper beta (0% reduction),2020-10-22,23277928.96425581,206321.0115752059,807830.5405945423,3307919.4835744426,135997.97614319305,0.0536,148509.0,0.8535031847133758,0.7198473371204372
wave_1,Paper beta (0% reduction),2020-10-23,23241688.604105063,203243.71099061889,796764.4628823511,3358303.2220219667,137857.7014959743,0.0536,153008.0,0.8535031847133758,0.7187266391927625
wave_1,Paper beta (0% reduction),2020-10-24,23206001.024803735,200201.14373271432,785802.5505351914,3407995.2809283566,139689.6374282259,0.0536,155233.0,0.8535031847133758,0.7176230354757918
wave_1,Paper beta (0% reduction),2020-10-25,23170859.161393523,197193.6693607076,774944.962683455,3457002.2065623123,141494.10110532487,0.0536,158089.0,0.8535031847133758,0.7165363074925534
wave_1,Paper beta (0% reduction),2020-10-26,23136256.00756683,194221.53130882457,764191.9043643117,3505330.556760032,143271.41241118155,0.0536,159830.0,0.8535031847133758,0.7154662385797922
wave_1,Paper beta (0% reduction),2020-10-27,23102184.612837937,191284.87973082537,753543.6043497048,3552986.9030815302,145021.8930014975,0.0536,160400.0,0.8535031847133758,0.7144126138004903
wave_1,Paper beta (0% reduction),2020-10-28,23068638.08062148,188383.78953184295,743000.2981044743,3599977.8317421987,146745.86554174768,0.0536,162354.0,0.8535031847133758,0.7133752198844455
wave_1,Paper beta (0% reduction),2020-10-29,23035609.5670047,185518.27462177371,732562.2147678984,3646309.9436056274,148443.65309106783,0.0536,164718.0,0.8535031847133758,0.7123538451903051
wave_1,Paper beta (0% reduction),2020-10-30,23003092.280046698,182688.2992013881,722229.5672899471,3691989.853461965,150115.5786015655,0.0536,168235.0,0.8535031847133758,0.7113482796838958
wave_1,Paper beta (0% reduction),2020-10-31,22971079.47947464,179893.78671743663,712002.5450402673,3737024.188767654,151761.96450911474,0.0536,170743.0,0.8535031847133758,0.7103583149288291
wave_1,Paper beta (0% reduction),2020-11-01,22939564.47667535,177134.6269858913,701881.3083544237,3781419.5879843333,153383.1323968233,0.0536,173567.0,0.8535031847133758,0.7093837440862404
wave_1,Paper beta (0% reduction),2020-11-02,22908540.634903368,174410.68187492457,691865.9845968783,3825182.698624828,154979.4027163868,0.0536,176500.0,0.8535031847133758,0.7084243619212249
wave_1,Paper beta (0% reduction),2020-11-03,22878001.369644005,171721.78985489343,681956.6654104154,3868320.175090685,156551.09455570215,0.0536,179614.0,0.8535031847133758,0.7074799648140628
wave_1,Paper beta (0% reduction),2020-11-04,22847940.149083722,169067.76965644961,672153.4048925359,3910838.67636729,158098.52544358987,0.0536,182923.0,0.8535031847133758,0.7065503507747667
wave_1,Paper beta (0% reduction),2020-11-05,22818350.494650938,166448.42322601582,662456.2184949303,3952744.8636281127,159622.01118442006,0.0536,185974.0,0.8535031847133758,0.7056353194598047
wave_1,Paper beta (0% reduction),2020-11-06,22789225.981598772,163863.53812716878,652865.0824857913,3994045.3977882625,161121.86571696287,0.0536,188883.0,0.8535031847133758,0.7047346721901219
wave_1,Paper beta (0% reduction),2020-11-07,22760560.239607878,161312.8895045423,643379.9338489963,4034746.937038578,162598.40099298238,0.0536,191636.0,0.8535031847133758,0.7038482119697813
wave_1,Paper beta (0% reduction),2020-11-08,22732346.953392614,158796.2417018144,634000.6705211105,4074856.1343844566,164051.92687203345,0.0536,194453.0,0.8535031847133758,0.7029757435047104
wave_1,Paper beta (0% reduction),2020-11-09,22704579.86329791,156313.34960568848,624727.1518883081,4114379.635208091,165482.7510296598,0.0536,197024.0,0.8535031847133758,0.7021170732211578
wave_1,Paper beta (0% reduction),2020-11-10,22677252.765877284,153863.95977235734,615559.1994819221,4153324.074868435,166891.17887677203,0.0536,199760.0,0.8535031847133758,0.7012720092835679
wave_1,Paper beta (0% reduction),2020-11-11,22650359.51444497,151447.81138083598,606496.5978243952,4191696.076349799,168277.51348843952,0.0536,202329.0,0.8535031847133758,0.7004403616116556
wave_1,Paper beta (0% reduction),2020-11-12,22623894.019597,149064.63704805262,597539.0953876693,4229502.247967276,169642.055540689,0.0536,204242.0,0.8535031847133758,0.6996219418965196
